ID,Nombre,Imagen,RutaCompleta
1420,"Jan Jacobus Wouters",\\images\\faces\\L-4923.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-4923.png"
1421,"Erwin Koeman",\\images\\faces\\L-6924.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-6924.png"
1422,"Gerald Vanenburg",\\images\\faces\\L-600302.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-600302.png"
1425,"Piet Keizer",\\images\\faces\\L-856890.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-856890.png"
1428,"Oscar Alfredo Ruggeri",\\images\\faces\\L-3100302.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3100302.png"
1429,"José Luis Brown",\\images\\faces\\L-950876.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-950876.png"
1434,"Jorge Luis Burruchaga",\\images\\faces\\L-3100303.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3100303.png"
1435,"Héctor Adolfo Enrique",\\images\\faces\\L-950875.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-950875.png"
1437,"Jorge Alberto Francisco Valdano Castellanos",\\images\\faces\\L-3100802.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3100802.png"
1440,"Luis Adolfo Galván",\\images\\faces\\L-14089754.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-14089754.png"
1442,"Américo Rubén Gallego",\\images\\faces\\L-3100232.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3100232.png"
1446,"Ricardo Daniel Bertoni",\\images\\faces\\L-829225.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-829225.png"
1447,"Leopoldo Jacinto Luque",\\images\\faces\\L-14100767.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-14100767.png"
1448,"Mario Alberto Kempes Chiodi",\\images\\faces\\L-5240104.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-5240104.png"
1464,"Carlos Caetano Bledorn Verri",\\images\\faces\\L-2001451.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2001451.png"
1466,"Paulo Roberto Falção",\\images\\faces\\L-311805.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-311805.png"
1469,"Raimundo Souza Vieira de Oliveira",\\images\\faces\\L-11097.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-11097.png"
1470,"Leonardo Nascimento de Araújo",\\images\\faces\\L-11096.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-11096.png"
1537,"Samuel Seth Ashton",/images/faces/A-5131130.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5131130.png"
1733,"David Anthony Thompson",/images/faces/A-2005705.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-2005705.png"
1786,"Hao Haidong",/images/faces/A-128073.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-128073.png"
1865,"Steve Mc Millan",/images/faces/A-2015760.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-2015760.png"
2010,"Mamadou Dansoko",/images/faces/A-5370573.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5370573.png"
2078,"Cedric Lecluse",/images/faces/A-10234.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-10234.png"
2129,"Franck Padovani",/images/faces/A-919982.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-919982.png"
2136,"Paulo César Filgueira Narciso",/images/faces/A-3300663.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-3300663.png"
2163,"Sin nombre",/images/faces/A-55002409.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-55002409.png"
2247,"Virgile Séne",/images/faces/A-34000617.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-34000617.png"
2275,"Jean-Louis Montero",/images/faces/A-3503289.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-3503289.png"
2279,"Sébastien Dallet",/images/faces/A-8652.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-8652.png"
2294,"Cedric Faivre",/images/faces/A-910800.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-910800.png"
2329,"Alessandro Boccolini",/images/faces/A-837151.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-837151.png"
2386,"Arazio Macca liotru",/images/faces/A-705884.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-705884.png"
2479,"Francesco Coco",/images/faces/A-65.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-65.png"
2533,"Andrea Tummiolo",/images/faces/A-837677.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-837677.png"
2740,"Ronildo Pereira de Freitas",/images/faces/A-115839.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-115839.png"
2806,"Roel Buikema",/images/faces/A-601086.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-601086.png"
2808,"Robin Hofman",/images/faces/A-861862.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-861862.png"
